case_id,interval_start,recorded_load_mw,source_archive_sha256
spring-2023,2023-04-12T10:00:00-05:00,42446.385,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T11:00:00-05:00,43237.389,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T12:00:00-05:00,44250.911,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T13:00:00-05:00,45387.628,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T14:00:00-05:00,46564.053,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T15:00:00-05:00,47634.085,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T16:00:00-05:00,48392.288,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T17:00:00-05:00,48658.864,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T18:00:00-05:00,48278.15,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T19:00:00-05:00,47407.713,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T20:00:00-05:00,47264.36,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T21:00:00-05:00,46043.635,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T22:00:00-05:00,43310.895,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T23:00:00-05:00,40129.932,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
winter-2021,2021-02-14T00:00:00-06:00,55282.612,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T01:00:00-06:00,54746.708,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T02:00:00-06:00,54701.39,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T03:00:00-06:00,55005.102,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T04:00:00-06:00,55630.169,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T05:00:00-06:00,56680.454,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T06:00:00-06:00,58071.474,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T07:00:00-06:00,59511.077,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T08:00:00-06:00,61299.993,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T09:00:00-06:00,63072.424,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T10:00:00-06:00,64185.234,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T11:00:00-06:00,64864.156,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T12:00:00-06:00,65047.452,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T13:00:00-06:00,65028.901,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T14:00:00-06:00,65188.549,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T15:00:00-06:00,65556.735,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T16:00:00-06:00,66468.018,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T17:00:00-06:00,68094.825,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T18:00:00-06:00,69635.087,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T19:00:00-06:00,69692.485,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T20:00:00-06:00,69324.247,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T21:00:00-06:00,68473.934,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T22:00:00-06:00,67200.98,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-14T23:00:00-06:00,66270.516,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T00:00:00-06:00,65777.077,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T01:00:00-06:00,63910.401,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T02:00:00-06:00,53982.966,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T03:00:00-06:00,54102.714,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T04:00:00-06:00,54522.956,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T05:00:00-06:00,51839.58,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T06:00:00-06:00,51147.726,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T07:00:00-06:00,51220.191,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T08:00:00-06:00,49646.299,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T09:00:00-06:00,49443.179,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T10:00:00-06:00,48615.527,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T11:00:00-06:00,47548.021,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T12:00:00-06:00,46197.976,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T13:00:00-06:00,45423.548,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T14:00:00-06:00,45100.613,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T15:00:00-06:00,45416.829,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T16:00:00-06:00,45767.296,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T17:00:00-06:00,45425.706,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T18:00:00-06:00,45061.707,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T19:00:00-06:00,44257.287,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T20:00:00-06:00,44364.439,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T21:00:00-06:00,44894.441,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T22:00:00-06:00,44100.045,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-15T23:00:00-06:00,43704.295,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-16T00:00:00-06:00,44070.049,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-16T01:00:00-06:00,44524.149,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-16T02:00:00-06:00,45258.654,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-16T03:00:00-06:00,46108.298,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-16T04:00:00-06:00,45598.004,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-16T05:00:00-06:00,45681.929,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-16T06:00:00-06:00,46501.875,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-16T07:00:00-06:00,46796.658,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-16T08:00:00-06:00,45855.511,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-16T09:00:00-06:00,44947.878,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-16T10:00:00-06:00,44196.114,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
winter-2021,2021-02-16T11:00:00-06:00,44291.851,63d77e711fbcf838aff1666df475cd86a1fa939ad8aecd60a1bfe5039c4e5b91
